buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,houseType,jibun,plottageAr,sggCd,slerGbn,totalFloorAr,umdNm,lawd_cd,deal_ym,sggNm
2015,개인,,,"200,000",22,7,2024,직거래,,단독,4**,333,41111,개인,834.52,율전동,41111,202407,
1997,개인,,,"20,000",17,7,2024,중개거래,경기 화성시,다가구,3*,81,41111,개인,82.99,영화동,41111,202407,
1994,개인,,,"28,000",22,7,2024,중개거래,경기 수원시 장안구,단독,1**,165,41111,개인,199.55,영화동,41111,202407,
1977,개인,,,"59,500",22,7,2024,중개거래,경기 수원시 장안구,단독,4**,198,41111,개인,79.01,영화동,41111,202407,
1971,개인,,,"21,500",18,7,2024,중개거래,경기 수원시 장안구,단독,1**,112,41111,개인,50.58,영화동,41111,202407,
1985,개인,,,"40,400",3,7,2024,중개거래,경기 수원시장안구,단독,5**,136.9,41111,개인,167.55,파장동,41111,202407,
1989,개인,,,"44,700",12,7,2024,중개거래,경기 수원시 장안구,단독,4**,107.4,41111,개인,182.61,송죽동,41111,202407,
1978,개인,,,"42,000",2,7,2024,중개거래,경기 수원시 장안구,단독,2**,201,41111,개인,141.91,송죽동,41111,202407,
2016,개인,,,"45,000",19,8,2024,중개거래,경기 수원시 장안구,단독,4**,92,41111,개인,176.16,파장동,41111,202408,
1989,개인,,,"60,000",10,8,2024,중개거래,경기 수원시 장안구,단독,7**,175.2,41111,개인,414.12,조원동,41111,202408,
1989,개인,,,"88,000",30,8,2024,중개거래,경기 수원시 팔달구,단독,1**,323,41111,개인,324.43,송죽동,41111,202408,
2017,개인,,,"147,000",10,8,2024,중개거래,경기 수원시 장안구,다가구,3**,234.5,41111,개인,466.88,영화동,41111,202408,
1984,개인,,,"30,500",21,8,2024,중개거래,경기 수원시 장안구,단독,3*,167,41111,개인,92.35,영화동,41111,202408,
1992,개인,,,"35,000",8,8,2024,중개거래,경기 수원시 장안구,다가구,5*,100,41111,개인,161.24,연무동,41111,202408,
2018,개인,,,"50,000",6,8,2024,중개거래,경기 수원시 장안구,단독,1**,103,41111,개인,98.82,연무동,41111,202408,
2016,개인,,,"109,000",23,9,2024,중개거래,경기 수원시 장안구,다가구,1**,208,41111,개인,394.13,영화동,41111,202409,
2016,개인,24.11.13,O,"109,000",23,9,2024,중개거래,경기 수원시 장안구,다가구,1**,208,41111,개인,394.13,영화동,41111,202409,
1994,개인,,,"24,500",30,9,2024,중개거래,"경기 수원시 장안구, 경기 수원시 팔달구",단독,3*,71,41111,개인,115.55,영화동,41111,202409,
