model,nominal_coverage,empirical_coverage,data_kind
deposit,0.5,0.5000322684737012,actual
deposit,0.8,0.8001290738948048,actual
property_value,0.5,0.5454545454545454,actual
property_value,0.8,0.9090909090909091,actual
